x	y
0.1	3.942790539391244
0.2	4.00814049926086
0.30000000000000004	3.8781648294030315
0.4	4.065985737334272
0.5	3.972979556587888
0.6	3.8738976449850013
0.7000000000000001	3.98453546762187
0.8	4.125558573142288
0.9	4.114800408163837
1.0	3.9822135709416693
1.1	4.173754684713746
1.2000000000000002	4.117582791413656
1.3000000000000003	4.182974162379734
1.4000000000000001	4.187391724362323
1.5000000000000002	4.051818907274256
1.6	4.2155879918760535
1.7000000000000002	4.132458452250205
1.8000000000000003	4.3601914197567035
1.9000000000000001	4.289876423519447
2.0	4.233921068072775
2.1	4.142503105120254
2.2	4.257481972274653
2.3000000000000003	4.2790174452547864
2.4000000000000004	4.152886438445114
2.5000000000000004	4.50664398064804
2.6	4.33404712402973
2.7	4.473954727740865
2.8000000000000003	4.203339054479763
2.9000000000000004	4.487904066973844
3.0000000000000004	4.197756851095388
3.1	4.278076893452135
3.2	4.406619176959546
3.3000000000000003	4.36618392358962
3.4000000000000004	4.1344257241190965
3.5000000000000004	4.268370554394246
3.6	4.47125981084785
3.7	4.604666821442339
3.8000000000000003	4.4956284813697005
3.9000000000000004	4.384654310599019
4.0	4.499926006571236
4.1	4.31376913799819
4.2	4.486893066747817
4.3	4.308788795007043
4.3999999999999995	4.450117753135469
4.5	4.445390842232214
4.6	4.545969367164543
4.7	4.442658677814809
4.8	4.600247651004838
4.9	4.467365985163171
5.0	4.577590044290234
5.1	4.579400228380478
5.2	4.323363923591277
5.3	4.5178288722971995
5.4	4.524202969571405
5.5	4.449187874392079
5.6	4.551372451172206
5.7	4.394167338120361
5.8	4.601550553134238
5.9	4.60304496258894
6.0	4.588172311696098
6.1	4.811774269069619
6.2	4.605267421402943
6.3	4.5826282016847975
6.4	4.508435042853344
6.5	4.617089981770082
6.6	4.496847958258822
6.7	4.7257941504007
6.8	4.539372753463954
6.9	4.625448695724658
7.0	4.814015501712858
7.1	4.7367736007038435
7.2	4.649911915159963
7.3	4.768873558941874
7.4	4.630607072209378
7.5	4.720714587767565
7.6	4.648176374761071
7.7	4.560748732823576
7.8	4.699294845049453
7.9	4.754658866449801
8.0	4.631461760395271
8.1	4.561190714718681
8.2	4.6228680216669655
8.3	4.44244947316031
8.4	4.624353501584819
8.5	4.582244058034713
8.6	4.8966219012767755
8.7	4.642460106717896
8.8	4.549179649099877
8.9	4.795041067043835
9.0	4.694880310174272
9.1	4.721666978369163
9.2	4.74003813800812
9.3	4.746433897903621
9.4	4.692349929251227
9.5	4.829519625460902
9.6	4.790593966309787
9.700000000000001	4.692871472900355
9.8	4.729456265339479
9.9	4.656281115928574
